time;vx;ax;vy;ay;vz;az
0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,1;-0,1;-1,1;-0,1;-1,0;0,6;6,5
0,2;0,0;2,0;-0,7;-14,6;-0,3;-17,8
0,30000000000000004;-0,0;-1,6;-0,5;0,1;0,1;13,6
0,4;0,1;5,8;-0,5;-5,5;0,2;2,0
0,5;0,0;-3,4;-0,5;-5,3;0,2;5,2
0,6;1,2;79,2;0,3;50,3;-2,2;-167,0
0,7;0,6;-29,0;-0,2;-38,2;-5,3;-260,2
0,7999999999999999;1,9;121,1;1,7;166,9;-2,6;184,3
0,8999999999999999;1,5;-25,7;2,7;120,9;-3,4;-102,9
0,9999999999999999;0,9;-43,2;2,8;39,3;-2,6;51,3
1,0999999999999999;0,5;-38,3;1,5;-127,5;-2,6;-25,0
1,2;0,4;-17,4;0,6;-97,0;-1,9;51,9
1,3;0,1;-24,4;1,4;105,9;-1,4;43,5
1,4000000000000001;-0,2;-44,7;1,1;-21,6;-1,1;39,2
1,5000000000000002;-1,0;-124,2;1,2;19,9;-1,4;-56,1
1,6000000000000003;-1,8;-142,3;1,2;13,8;-1,2;10,5
1,7000000000000004;-2,5;-139,2;1,4;44,6;-0,9;33,0
1,8000000000000005;-3,0;-116,6;1,4;15,6;-0,9;-6,3
1,9000000000000006;-3,2;-64,3;1,3;-9,8;-0,5;53,9
2,0000000000000004;-3,5;-96,4;1,6;80,1;-0,2;64,4
2,1000000000000005;-3,9;-110,1;1,6;23,0;0,0;30,0
2,2000000000000006;-4,2;-116,6;1,6;2,5;0,3;50,3
2,3000000000000007;-4,7;-137,9;1,3;-37,3;0,4;28,9
2,400000000000001;-5,1;-147,2;1,2;-12,7;0,6;35,6
2,500000000000001;-5,5;-137,9;1,0;-48,3;0,9;85,0
2,600000000000001;-5,7;-109,9;0,7;-43,9;1,0;17,7
2,700000000000001;-5,9;-116,2;0,7;9,5;1,2;55,3
2,800000000000001;-6,0;-90,1;0,4;-66,8;1,3;29,2
2,9000000000000012;-6,3;-118,1;0,5;9,6;1,3;13,7
3,0000000000000013;-6,5;-134,5;0,4;-11,6;1,5;52,2
3,1000000000000014;-6,9;-157,3;0,3;-29,5;1,6;37,6
3,2000000000000015;-7,1;-137,3;0,0;-61,5;1,5;2,2
3,3000000000000016;-7,3;-116,9;-0,2;-80,0;1,6;47,4
3,4000000000000017;-7,4;-108,9;-0,5;-77,7;1,8;65,3
3,5000000000000018;-7,5;-97,6;-0,7;-68,1;1,9;37,5
3,600000000000002;-7,4;-67,3;-1,0;-94,4;2,0;33,5
3,700000000000002;-7,4;-68,9;-1,2;-55,8;1,9;7,9
3,800000000000002;-7,4;-61,1;-1,3;-48,6;2,0;36,2
3,900000000000002;-7,3;-51,1;-1,4;-48,1;2,1;36,4
4,000000000000002;-7,2;-34,1;-1,2;59,5;2,2;47,7
4,100000000000001;-7,2;-80,2;-1,1;11,0;2,2;25,7
4,200000000000001;-7,3;-87,0;-0,9;53,9;2,1;8,1
4,300000000000001;-7,2;-56,4;-0,9;-22,2;2,1;11,6
4,4;-7,3;-105,8;-1,0;-22,6;2,1;26,9
4,5;-7,4;-103,8;-0,8;40,3;2,4;107,0
4,6;-7,4;-86,3;-0,8;-15,7;2,7;84,4
4,699999999999999;-7,5;-89,0;-0,7;44,0;2,7;24,6
4,799999999999999;-7,5;-71,0;-0,7;-10,7;2,5;-19,0
4,899999999999999;-7,4;-66,2;-0,6;22,0;2,5;18,7
4,999999999999998;-7,4;-77,5;-0,7;-23,1;2,5;24,2
5,099999999999998;-7,5;-78,5;-0,7;-21,8;2,5;43,5
5,1999999999999975;-7,5;-88,0;-0,7;-17,0;2,5;22,9
5,299999999999997;-7,6;-99,8;-0,8;-39,3;2,6;32,3
