time;vx;ax;vy;ay;vz;az;;;Standing by (on table) with Updated Kalman Filter;;;;;;;;;;
7,5;0;0,7;-0,3;-5;0,4;2,1;;;;;;;;;;;;;
7,6;0;-3,3;-0,3;0,5;0,4;3,6;;;;;;;;;;;;;
7,7;0;-0,1;-0,3;-3,7;0,4;3,2;;;;;;;;;;;;;
7,8;0;0,2;-0,3;-3;0,4;3,1;;;;;;;;;;;;;
7,9;0;2,6;-0,3;-3,6;0,3;2;;;;;;;;;;;;;
8;0;-1,2;-0,3;-1,5;0,4;7,1;;;;;;;;;;;;;
8,1;0;1;-0,3;-5,6;0,4;4,9;;;;;;;;;;;;;
8,2;0;0,3;-0,3;0,4;0,4;4,8;;;;;;;;;;;;;
8,3;0;-0,6;-0,3;-1,5;0,4;5,7;;;;;;;;;;;;;
8,4;0;0,6;-0,3;-3;0,4;3,6;;;;;;;;;;;;;
8,5;0;-0,1;-0,3;-3,6;0,4;4,8;;;;;;;;;;;;;
8,6;0;1,2;-0,3;-0,4;0,4;12,9;;;;;;;;;;;;;
8,7;0;-3,8;-0,3;0,5;0,4;7,6;;;;;;;;;;;;;
8,8;0;-2,8;-0,3;-4,8;0,4;7,3;;;;;;;;;;;;;
8,9;0;3,2;-0,3;-4,2;0,4;6,2;;;;;;;;;;;;;
9;0;0,3;-0,3;-2,6;0,4;2,2;;;;;;;;;;;;;
9,1;0;4,1;-0,3;-1,6;0,4;8,2;;;;;;;;;;;;;
9,2;0;1;-0,3;-3,4;0,4;2,8;;;;;;;;;;;;;
9,3;0;-0,5;-0,3;-3,5;0,4;0;;;;;;;;;;;;;
9,4;0;1,9;-0,3;0,1;0,4;2,6;;;;;;;;;;;;;
9,5;0;3,3;-0,3;-2,9;0,4;0,1;;;;;;;;;;;;;
9,6;0;1;-0,3;-1,8;0,4;1,3;;;;;;;;;;;;;
9,7;0;4;-0,3;-0,6;0,4;10,2;;;;;;;;;;;;;
9,8;0;4,7;-0,3;-2,9;0,4;-5,9;;;;;;;;;;;;;
9,9;0;0,7;-0,2;-0,5;0,4;7,4;;;;;;;;;;;;;
10;0;5,6;-0,2;-0,7;0,4;5,4;;;;;;;;;;;;;
10,1;0;2,5;-0,2;-1,1;0,4;0,8;;;;;;;;;;;;;
10,2;0,1;4,2;-0,2;-1;0,4;3,4;;;;;;;;;;;;;
10,3;0,1;6,5;-0,2;-2,2;0,4;-1,7;;;;;;;;;;;;;
10,4;0,1;0;-0,2;-0,8;0,3;-3,2;;;;;;;;;;;;;
10,5;0,1;-0,7;-0,2;-0,1;0,4;10,5;;;;;;;;;;;;;
10,6;0,1;0,5;-0,2;-2;0,4;8,7;;;;;;;;;;;;;
10,7;0,1;-3,9;-0,2;-0,2;0,4;3,8;;;;;;;;;;;;;
10,8;0;-7,4;-0,2;0,4;0,4;1;;;;;;;;;;;;;
10,9;0;-2,6;-0,2;-3,9;0,4;2,8;;;;;;;;;;;;;
11;0;-3;-0,2;-4,8;0,4;1,2;;;;;;;;;;;;;
11,1;0;1,5;-0,2;0,4;0,4;6,4;;;;;;;;;;;;;
11,2;0;3,3;-0,2;-3,6;0,4;4,1;;;;;;;;;;;;;
11,3;0;1,4;-0,2;-0,4;0,3;-4;;;;;;;;;;;;;
11,4;0;4;-0,2;-3,4;0,3;0,9;;;;;;;;;;;;;
11,5;0;-3,5;-0,2;-2,2;0,3;-2,8;;;;;;;;;;;;;
11,6;0;-4,1;-0,2;-2,2;0,3;0;;;;;;;;;;;;;
11,7;0;0,9;-0,2;0,3;0,3;2;;;;;;;;;;;;;
11,8;0;0,9;-0,2;-4,9;0,3;3,9;;;;;;;;;;;;;
11,9;0;4,5;-0,2;-1,8;0,3;6,7;;;;;;;;;;;;;
12;0;1,2;-0,2;-2,3;0,3;-2,3;;;;;;;;;;;;;
12,1;0;4,3;-0,2;-2,1;0,3;8,2;;;;;;;;;;;;;
12,2;0;0,5;-0,2;-4;0,3;9,4;;;;;;;;;;;;;
12,3;0;0,4;-0,2;-1,8;0,3;-3,1;;;;;;;;;;;;;
12,4;0;-0,9;-0,2;-4,6;0,3;4,6;;;;;;;;;;;;;
12,5;0;0,4;-0,2;-4,3;0,3;5,8;;;;;;;;;;;;;
12,6;0;-1;-0,2;-1,8;0,3;-1,1;;;;;;;;;;;;;
12,7;0;1;-0,2;-3,6;0,3;2;;;;;;;;;;;;;
12,8;0;2,4;-0,2;-4,4;0,3;8,4;;;;;;;;;;;;;
12,9;0;-2,4;-0,2;-4;0,3;3,6;;;;;;;;;;;;;
13;0;-5,6;-0,2;-4,1;0,3;1,4;;;;;;;;;;;;;
13,1;0;3,7;-0,2;-1,8;0,3;-1,8;;;;;;;;;;;;;
13,2;0;-1,7;-0,2;-3,5;0,3;4,1;;;;;;;;;;;;;
13,3;0;0,9;-0,3;-4,1;0,3;6,4;;;;;;;;;;;;;
13,4;0;-1,9;-0,3;-7,4;0,3;1,3;;;;;;;;;;;;;
13,5;0;0,6;-0,3;-4,5;0,3;5,3;;;;;;;;;;;;;
13,6;0;0;-0,3;-0,6;0,3;5,8;;;;;;;;;;;;;
13,7;0;-0,4;-0,3;-1,3;0,3;2;;;;;;;;;;;;;
13,8;0;1,4;-0,3;-4,1;0,3;7,9;;;;;;;;;;;;;
13,9;0;0,9;-0,3;1,2;0,3;-0,7;;;;;;;;;;;;;
14;0;3,6;-0,3;-3,2;0,3;1,7;;;;;;;;;;;;;
14,1;0;0,5;-0,3;-2,5;0,3;3,3;;;;;;;;;;;;;
14,2;0;3,1;-0,3;-2,7;0,3;0,4;;;;;;;;;;;;;
14,3;0;0,1;-0,3;-2,1;0,3;5,8;;;;;;;;;;;;;
14,4;0,1;5,3;-0,2;1,1;0,3;7,1;;;;;;;;;;;;;
14,5;0,1;-0,6;-0,2;-0,7;0,3;1,4;;;;;;;;;;;;;
14,6;0;-4,4;-0,2;-2,8;0,4;11,8;;;;;;;;;;;;;
14,7;0;-2,8;-0,2;-1,4;0,4;2,2;;;;;;;;;;;;;
14,8;0;3;-0,2;-3,8;0,4;4,1;;;;;;;;;;;;;
14,9;0,1;7,4;-0,2;-2,4;0,3;1,3;;;;;;;;;;;;;
15;0;-3,2;-0,2;-1,6;0,3;1,6;;;;;;;;;;;;;
15,1;0;-4,3;-0,2;-3,3;0,3;0,8;;;;;;;;;;;;;
15,2;0;-4,6;-0,2;-2,9;0,3;1,7;;;;;;;;;;;;;
15,3;0;-1,3;-0,2;-3,6;0,3;8,8;;;;;;;;;;;;;
15,4;0;-5,8;-0,3;-4,5;0,3;3,2;;;;;;;;;;;;;
15,5;0;0,7;-0,2;-1;0,4;7,2;;;;;;;;;;;;;
15,6;0;2,4;-0,3;-3,3;0,4;3,1;;;;;;;;;;;;;
15,7;0;3,5;-0,3;-2;0,4;4,3;;;;;;;;;;;;;
15,8;0;-5;-0,2;-1,5;0,4;4,9;;;;;;;;;;;;;
15,9;0;-2,1;-0,2;-1,9;0,3;-1,7;;;;;;;;;;;;;
16;0;-1,6;-0,2;-1,6;0,3;1,6;;;;;;;;;;;;;
16,1;0;0,3;-0,2;-4,3;0,4;6,8;;;;;;;;;;;;;
16,2;0;-2,2;-0,2;-0,2;0,3;1,3;;;;;;;;;;;;;
16,3;0;-2,3;-0,2;-2,5;0,3;3,1;;;;;;;;;;;;;
16,4;0;-1,4;-0,2;-1,8;0,3;4,7;;;;;;;;;;;;;
16,5;0;-0,2;-0,2;-0,4;0,4;6;;;;;;;;;;;;;
16,6;0;-0,1;-0,2;-2,4;0,3;-2,4;;;;;;;;;;;;;
16,7;0;-0,7;-0,2;-3;0,3;-1,8;;;;;;;;;;;;;
16,8;0;-2;-0,2;-7,1;0,3;4,3;;;;;;;;;;;;;
16,9;0;0;-0,3;-3,5;0,3;-2;;;;;;;;;;;;;
17;0;4,5;-0,3;-4,4;0,3;-0,8;;;;;;;;;;;;;
17,1;0;-0,5;-0,2;0,9;0,3;4;;;;;;;;;;;;;
17,2;0;1,3;-0,2;-3;0,3;3,6;;;;;;;;;;;;;
17,3;0;1,5;-0,3;-3,2;0,3;0,2;;;;;;;;;;;;;
17,4;0;2,3;-0,3;-2,6;0,3;4,9;;;;;;;;;;;;;
17,5;0;3;-0,3;-3,9;0,3;5,9;;;;;;;;;;;;;
17,6;0;2,7;-0,3;-4,9;0,3;7,5;;;;;;;;;;;;;
17,7;0;4,9;-0,3;0,4;0,3;4,9;;;;;;;;;;;;;
17,8;0;1,1;-0,3;-3,6;0,3;-0,1;;;;;;;;;;;;;
17,9;0;-1,7;-0,3;-4,7;0,3;4,5;;;;;;;;;;;;;
18;0;-1,1;-0,3;0,9;0,3;4,4;;;;;;;;;;;;;
18,1;0;-1,3;-0,3;-2,7;0,3;10,8;;;;;;;;;;;;;
18,2;0;-1,2;-0,3;-4,6;0,3;3,4;;;;;;;;;;;;;
18,3;0;-1,1;-0,3;0,3;0,4;8;;;;;;;;;;;;;
18,4;0;0,1;-0,2;0,7;0,4;8,7;;;;;;;;;;;;;
18,5;0;3,3;-0,2;-2,8;0,4;9,1;;;;;;;;;;;;;
18,6;0;1,6;-0,2;1,5;0,4;4,8;;;;;;;;;;;;;
18,7;0;1,4;-0,2;-1,6;0,4;-3,7;;;;;;;;;;;;;
18,8;0;2,2;-0,2;2;0,4;4,4;;;;;;;;;;;;;
18,9;0;-2,6;-0,2;-5,2;0,4;4,4;;;;;;;;;;;;;
19;0;-4,5;-0,2;1,3;0,4;5;;;;;;;;;;;;;
19,1;0;-0,9;-0,2;-5;0,4;3,2;;;;;;;;;;;;;
19,2;0;0,8;-0,2;-3,7;0,4;-3,4;;;;;;;;;;;;;
19,3;0;1,3;-0,2;-4,4;0,4;4,2;;;;;;;;;;;;;
19,4;0;-4;-0,2;-3,5;0,4;6,5;;;;;;;;;;;;;
19,5;0;-5,9;-0,2;-2;0,4;2,4;;;;;;;;;;;;;
19,6;0;2,6;-0,2;-2,3;0,4;3,6;;;;;;;;;;;;;
19,7;0;1,5;-0,2;-3,9;0,4;6,7;;;;;;;;;;;;;
19,8;0;4,7;-0,2;-2,2;0,4;5,8;;;;;;;;;;;;;
19,9;0;2,9;-0,2;-4,5;0,4;-2,1;;;;;;;;;;;;;
20;0;0,8;-0,2;-3,2;0,3;-2;;;;;;;;;;;;;
20,1;0;-0,2;-0,2;-3,2;0,3;2,5;;;;;;;;;;;;;
20,2;0;-4;-0,2;-1,2;0,3;2,5;;;;;;;;;;;;;
20,3;0;-0,8;-0,3;-4,1;0,3;2;;;;;;;;;;;;;
20,4;0;-3,3;-0,3;-3,1;0,3;3;;;;;;;;;;;;;
20,5;0;-3,8;-0,3;-4,5;0,4;9,7;;;;;;;;;;;;;
20,6;0;-2,7;-0,2;1,6;0,4;5,5;;;;;;;;;;;;;
20,7;0;0,2;-0,3;-4;0,4;12,6;;;;;;;;;;;;;
20,8;0;1,9;-0,2;-0,3;0,4;-3,4;;;;;;;;;;;;;
20,9;0;4;-0,2;-2,4;0,4;3,9;;;;;;;;;;;;;
21;0;2,4;-0,2;-4,4;0,4;0,8;;;;;;;;;;;;;
21,1;0;3,3;-0,2;1,5;0,4;5,5;;;;;;;;;;;;;
21,2;0;1,2;-0,2;-3;0,3;-0,1;;;;;;;;;;;;;
21,3;0;4,9;-0,2;-1,7;0,3;2,9;;;;;;;;;;;;;
21,4;0;4,6;-0,2;-2,1;0,4;5,4;;;;;;;;;;;;;
21,5;0;-0,5;-0,2;-3,2;0,4;2,6;;;;;;;;;;;;;
21,6;0;4,3;-0,2;-3,1;0,3;-2,1;;;;;;;;;;;;;
21,7;0,1;4,7;-0,2;-1,8;0,3;2,6;;;;;;;;;;;;;
21,8;0,1;0,6;-0,2;0;0,3;3,2;;;;;;;;;;;;;
21,9;0;-0,8;-0,2;-0,5;0,3;0;;;;;;;;;;;;;
22;0,1;3,2;-0,2;-2,5;0,3;3,6;;;;;;;;;;;;;
22,1;0;-2,3;-0,2;-3,4;0,3;4,1;;;;;;;;;;;;;
22,2;0;1,5;-0,2;-3;0,3;4,5;;;;;;;;;;;;;
22,3;0;-4,4;-0,2;-0,3;0,3;9;;;;;;;;;;;;;
22,4;0;-4,9;-0,2;0,3;0,4;9,6;;;;;;;;;;;;;
22,5;0;-4,5;-0,2;-2,4;0,4;11,5;;;;;;;;;;;;;
22,6;0;-4,6;-0,2;-5,9;0,4;4;;;;;;;;;;;;;
22,7;0;3;-0,2;-3,9;0,4;4,7;;;;;;;;;;;;;
22,8;0;4,6;-0,2;-2,1;0,4;-0,4;;;;;;;;;;;;;
22,9;0;-2;-0,2;-4,7;0,4;0,6;;;;;;;;;;;;;
23;0;1,6;-0,2;-0,2;0,3;-2,4;;;;;;;;;;;;;
23,1;0;2,5;-0,2;-4,3;0,3;3,1;;;;;;;;;;;;;
23,2;0;0,7;-0,3;-8,4;0,3;1,5;;;;;;;;;;;;;
23,3;0;-1,6;-0,3;-8,1;0,3;1,5;;;;;;;;;;;;;
23,4;0;-0,9;-0,3;-0,6;0,3;0,4;;;;;;;;;;;;;
23,5;0;2,2;-0,3;-4,1;0,3;1,3;;;;;;;;;;;;;
23,6;0;2,3;-0,3;-6,1;0,3;-3,9;;;;;;;;;;;;;
23,7;0;4,3;-0,3;-1,4;0,3;-0,8;;;;;;;;;;;;;
23,8;0;2,3;-0,3;-5;0,3;8,2;;;;;;;;;;;;;
23,9;0;1,8;-0,3;-1,5;0,3;2;;;;;;;;;;;;;
24;0;-1;-0,3;-2,6;0,3;8,7;;;;;;;;;;;;;
24,1;0;0,3;-0,3;-1,5;0,3;4,5;;;;;;;;;;;;;
24,2;0;-1;-0,3;-3,1;0,3;9,4;;;;;;;;;;;;;
24,3;0;-5,1;-0,3;-0,6;0,4;7;;;;;;;;;;;;;
24,4;0;-0,7;-0,3;-3,4;0,3;1,7;;;;;;;;;;;;;
24,5;0;-5,6;-0,3;-3,8;0,3;0,6;;;;;;;;;;;;;
