time;vx;ax;vy;ay;vz;az
0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,1;-0,8;-8,0;-0,4;-3,9;-0,3;-2,7
0,2;-0,5;0,4;-0,2;0,9;0,2;8,9
0,30000000000000004;-0,4;-1,6;-0,2;-2,1;-0,4;-20,0
0,4;-0,3;0,4;-0,3;-6,7;0,1;20,6
0,5;-0,3;-3,3;-0,4;-8,4;0,1;0,1
0,6;-0,3;1,9;-0,2;8,2;0,2;6,3
0,7;-0,3;-3,2;-0,2;-2,2;0,3;11,8
0,7999999999999999;-0,2;2,6;-0,2;-0,1;0,3;4,1
0,8999999999999999;-0,3;-7,3;-0,2;-4,1;0,2;-4,4
0,9999999999999999;-0,3;-3,0;-0,1;6,2;0,2;-4,4
1,0999999999999999;-0,2;-0,8;-0,1;0,3;0,1;-6,6
1,2;-0,2;-0,7;-0,1;7,6;0,1;-1,7
1,3;-0,3;-5,6;-0,1;-2,5;0,2;14,8
1,4000000000000001;-0,3;-3,2;-0,1;-3,0;0,1;-4,8
1,5000000000000002;-0,2;1,2;-0,1;3,1;0,2;16,2
1,6000000000000003;-0,2;1,0;-0,0;2,6;0,2;-4,4
1,7000000000000004;-0,2;-2,0;-0,0;-1,6;0,2;10,8
1,8000000000000005;-0,2;1,3;-0,0;2,7;0,3;8,1
1,9000000000000006;-0,2;-5,5;-0,0;-0,3;0,3;2,8
2,0000000000000004;-0,2;-2,4;0,0;6,2;0,3;6,8
2,1000000000000005;-0,3;-9,3;0,0;5,9;0,2;-16,0
2,2000000000000006;-0,2;0,3;0,0;-2,5;0,2;9,5
2,3000000000000007;-0,2;-3,3;0,0;3,7;0,3;9,4
2,400000000000001;-0,2;-0,6;0,1;8,2;0,3;0,6
2,500000000000001;-0,2;-4,1;0,1;2,9;0,3;0,6
2,600000000000001;-0,2;-2,3;0,1;10,0;0,3;7,3
2,700000000000001;-0,2;2,8;0,1;-2,3;0,3;6,0
2,800000000000001;-0,3;-22,7;0,1;-9,8;0,3;-4,4
2,9000000000000012;-0,3;-11,5;0,1;3,8;0,2;-2,5
3,0000000000000013;-0,3;-2,2;0,1;6,4;0,3;6,3
3,1000000000000014;-0,3;3,7;0,1;-1,8;0,3;16,2
3,2000000000000015;-0,3;-4,9;0,1;1,7;0,3;-0,8
3,3000000000000016;-0,3;-1,7;0,1;-0,7;0,3;6,3
3,4000000000000017;-0,3;-9,5;0,1;0,8;0,3;-0,8
3,5000000000000018;-0,3;2,4;0,1;-2,5;0,2;-9,2
3,600000000000002;-0,3;-5,9;0,1;2,3;0,3;6,4
3,700000000000002;-0,3;-5,2;0,1;-0,7;0,3;8,1
3,800000000000002;-0,3;-4,4;0,1;-1,9;0,3;0,1
3,899900000000002;-0,3;-4,5;0,1;2,7;0,2;-4,9
3,999900000000002;-0,3;-8,3;0,1;8,1;0,3;12,6
4,099900000000002;-0,3;-1,1;0,1;0,2;0,2;-15,1
4,199900000000001;-0,3;-1,2;0,1;-11,1;0,2;9,4
4,299900000000001;-0,3;-8,0;0,1;0,1;0,3;6,8
4,399900000000001;-0,3;5,8;0,0;-0,6;0,3;6,3
4,4999;-0,3;-1,9;0,1;1,3;0,3;-0,8
4,5999;-0,3;-2,0;0,0;-5,8;0,2;-2,5
4,6998999999999995;-0,3;-9,0;0,0;5,1;0,2;-0,9
4,799899999999999;-0,3;-4,5;0,1;7,0;0,3;9,4
4,899899999999999;-0,3;-1,8;0,1;7,2;0,3;4,5
4,9998999999999985;-0,3;-3,8;0,1;2,4;0,3;2,8
5,099899999999998;-0,3;-7,1;0,1;3,1;0,3;2,3
5,199899999999998;-0,3;2,7;0,1;-4,2;0,3;2,3
5,299899999999997;-0,3;-4,4;0,1;-0,1;0,2;-2,6
5,399899999999997;-0,3;-10,3;0,1;-4,2;0,2;-0,3
5,499899999999997;-0,3;13,2;0,1;3,1;0,2;5,0
5,599999999999997;-0,3;4,4;0,1;1,5;0,3;9,5
5,699899999999997;-0,3;-1,5;0,0;-9,3;0,2;-17,8
5,7998999999999965;-0,3;-2,4;0,1;4,6;0,3;25,0
5,899899999999996;-0,3;-4,7;0,1;1,7;0,3;13,9
5,999899999999996;-0,3;-2,2;0,1;-1,2;0,3;-5,2
6,099899999999995;-0,3;-7,6;0,1;0,7;0,3;7,2
6,199899999999995;-0,3;2,1;0,0;-4,4;0,3;0,0
6,299899999999995;-0,3;-0,6;0,1;9,7;0,3;6,3
6,399899999999994;-0,3;4,2;0,1;4,5;0,3;3,6
6,499899999999994;-0,3;-2,8;0,1;2,0;0,3;2,7
6,599899999999994;-0,2;4,5;0,1;-2,7;0,3;9,5
6,699899999999993;-0,2;-0,1;0,1;2,9;0,4;16,1
6,799899999999993;-0,2;-4,5;0,1;3,6;0,4;0,5
6,899899999999993;-0,3;-13,1;0,1;-0,2;0,3;-1,7
6,999899999999992;-0,3;1,6;0,1;-2,6;0,3;0,1
7,099899999999992;-0,3;-10,5;0,1;-4,9;0,3;2,8
7,1998999999999915;-0,3;-4,9;0,0;-4,1;0,3;-11,0
7,299899999999991;-0,3;-7,5;0,0;-1,1;0,3;0,1
7,399899999999991;-0,3;-5,7;0,1;6,3;0,3;2,3
7,4998999999999905;-0,3;2,1;0,1;4,8;0,2;-4,8
7,59989999999999;-0,3;6,0;0,1;2,1;0,2;5,0
7,69989999999999;-0,3;-2,4;0,1;6,7;0,2;-8,8
7,799899999999989;-0,3;-7,7;0,1;-0,3;0,2;2,4
7,899899999999989;-0,3;-3,6;0,1;-0,6;0,2;-9,2
7,999899999999989;-0,3;1,2;0,1;-0,5;0,2;10,4
8,09989999999999;-0,3;2,6;0,1;-4,9;0,2;10,9
8,199899999999989;-0,3;0,9;0,1;-3,6;0,2;-1,6
8,299899999999989;-0,3;-4,6;0,0;-9,6;0,2;1,5
8,399899999999988;-0,2;1,3;0,0;-10,1;0,2;-6,1
8,499899999999988;-0,3;-8,6;-0,0;-5,7;0,2;1,5
8,599899999999987;-0,3;-4,1;-0,0;-2,0;0,2;10,4
8,699899999999987;-0,3;-1,6;-0,0;-4,7;0,2;-0,3
8,799899999999987;-0,3;-8,1;-0,0;1,6;0,2;2,3
8,899899999999986;-0,3;2,0;-0,0;3,2;0,2;9,0
8,999899999999986;-0,3;-5,2;0,0;8,7;0,2;-4,0
9,099899999999986;-0,3;-8,0;-0,0;-8,9;0,2;-1,7
9,199899999999985;-0,3;1,8;-0,0;-3,6;0,1;-13,3
9,299899999999985;-0,3;-5,8;-0,0;-9,3;0,2;25,1
9,399899999999985;-0,3;-2,6;-0,0;0,6;0,3;10,4
9,499899999999984;-0,3;-4,3;-0,0;4,4;0,3;7,3
9,599899999999984;-0,3;-1,1;-0,0;2,7;0,3;8,2
9,699899999999984;-0,3;3,3;-0,0;-0,1;0,3;7,3
9,799899999999983;-0,3;0,2;-0,0;-4,4;0,3;9,5
9,899899999999983;-0,2;2,4;-0,0;2,0;0,3;-3,0
9,999899999999982;-0,3;-8,3;-0,0;-2,8;0,3;0,1
10,099899999999982;-0,3;-1,9;-0,0;-1,4;0,3;5,9
10,199899999999982;-0,2;1,8;-0,0;2,6;0,3;-1,7
10,299899999999981;-0,3;-8,8;-0,0;-2,1;0,3;11,7
10,399899999999981;-0,3;-0,4;-0,0;7,5;0,3;-7,5
10,49989999999998;-0,3;-4,0;-0,0;-5,3;0,3;9,0
10,59989999999998;-0,2;2,4;-0,0;10,4;0,3;-4,0
10,69989999999998;-0,2;-0,0;0,0;3,4;0,3;-0,8
