time;vx;ax;vy;ay;vz;az
0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,1;-0,6;-0,2;5,0;11,0;-1,3;-1,7
0,2;-0,3;0,2;7,2;11,5;-0,9;0,0
0,30000000000000004;-0,0;0,8;8,5;12,3;-0,8;-0,6
0,4;0,2;1,2;9,4;13,1;-0,7;-0,4
0,5;-6,7;-41,3;26,6;112,1;4,0;27,1
0,6;-9,5;-26,2;43,6;144,8;12,4;61,8
0,7;-10,2;-14,8;59,1;165,8;18,1;57,4
0,7999999999999999;-5,7;30,2;48,2;-37,7;22,4;55,8
0,8999999999999999;-1,8;32,8;40,7;-25,6;28,3;79,4
0,9999999999999999;2,2;40,7;33,0;-41,7;30,9;55,2
1,0999999999999999;6,3;50,3;26,7;-40,7;33,2;57,7
1,2;10,6;61,9;19,1;-69,4;36,3;70,3
1,3;14,6;65,0;12,5;-70,0;39,5;78,6
1,4000000000000001;18,6;73,0;6,2;-79,3;43,2;90,2
1,5000000000000002;22,4;76,1;0,7;-77,4;46,5;90,8
1,6000000000000003;25,8;78,4;-4,6;-84,3;49,7;95,4
1,7000000000000004;28,9;80,0;-9,0;-80,1;52,4;93,7
1,8000000000000005;32,1;86,4;-13,6;-90,6;54,9;94,3
1,9000000000000006;35,3;92,7;-18,6;-107,3;57,2;94,1
2,0000000000000004;38,2;92,8;-23,2;-107,0;59,4;96,7
2,1000000000000005;40,9;93,4;-27,3;-107,2;61,3;95,0
2,2000000000000006;43,5;97,2;-31,3;-110,4;62,9;92,2
2,3000000000000007;46,0;97,4;-34,2;-95,0;64,3;90,6
2,400000000000001;48,1;94,5;-36,4;-83,1;65,8;94,8
2,500000000000001;49,9;91,8;-38,1;-75,2;67,2;94,4
2,600000000000001;51,6;89,9;-39,5;-71,8;68,6;95,8
2,700000000000001;53,1;89,8;-40,7;-69,1;70,2;104,1
2,800000000000001;54,3;85,8;-41,7;-65,1;71,9;108,0
2,9000000000000012;55,2;77,9;-42,4;-60,7;73,7;110,2
3,0000000000000013;55,9;72,5;-43,4;-67,5;75,4;114,0
3,1000000000000014;56,4;72,1;-44,5;-74,4;77,0;111,0
3,2000000000000015;56,9;70,3;-45,8;-80,1;78,4;109,7
3,3000000000000016;57,3;68,5;-47,2;-83,6;79,6;107,6
3,4000000000000017;57,7;69,7;-48,6;-87,5;80,9;111,4
3,5000000000000018;58,2;70,8;-50,1;-94,4;82,2;111,0
3,600000000000002;58,6;72,8;-51,8;-98,4;83,2;107,5
3,700000000000002;59,1;73,5;-53,4;-101,7;84,1;106,5
3,800000000000002;59,6;73,2;-55,0;-101,5;85,0;106,8
3,900000000000002;60,0;75,0;-56,8;-110,5;85,9;106,4
4,000000000000002;60,6;77,5;-58,7;-115,8;86,6;105,3
4,100000000000001;61,1;80,0;-60,6;-120,9;87,4;106,4
4,200000000000001;61,7;81,5;-62,6;-124,7;88,0;103,6
4,300000000000001;62,3;82,1;-64,7;-130,4;88,7;104,9
4,4;62,9;83,2;-66,8;-134,1;89,4;106,7
4,5;63,5;83,6;-68,7;-131,0;90,0;105,6
4,6;64,1;85,0;-70,5;-127,9;90,6;105,2
4,699999999999999;64,7;86,7;-72,1;-125,7;91,1;105,7
4,799999999999999;65,4;89,5;-73,6;-124,6;91,6;104,5
4,899999999999999;66,1;89,8;-75,0;-122,4;92,2;106,1
4,999999999999998;66,7;89,2;-76,3;-120,7;92,7;104,8
5,099999999999998;67,2;87,2;-77,4;-114,8;93,1;103,7
5,1999999999999975;67,7;85,1;-78,4;-111,9;93,5;103,7
5,299999999999997;68,2;85,8;-79,3;-111,0;93,8;102,7
5,399999999999997;68,5;83,3;-80,1;-106,7;94,2;103,6
5,4999999999999964;68,9;81,1;-80,8;-107,2;94,5;104,8
5,599999999999996;69,1;79,7;-81,6;-110,0;95,0;106,5
5,699999999999996;69,3;76,6;-82,5;-113,3;95,4;107,1
5,799999999999995;69,5;74,3;-83,4;-116,3;95,8;106,6
5,899999999999995;69,6;74,4;-84,3;-116,5;96,1;104,1
5,999999999999995;69,6;71,3;-85,1;-114,1;96,3;101,9
6,099999999999994;69,7;72,8;-85,9;-117,8;96,4;98,3
6,199999999999994;69,8;75,0;-86,9;-123,6;96,4;97,1
6,299999999999994;70,0;76,5;-88,0;-126,4;96,4;96,5
6,399999999999993;70,1;76,3;-89,0;-125,7;96,5;97,1
6,499999999999993;70,3;78,5;-90,1;-130,7;96,5;97,6
6,5999999999999925;70,6;80,0;-91,0;-126,3;96,3;92,0
6,699999999999992;70,9;82,3;-92,1;-131,1;96,3;95,6
6,799999999999992;71,2;83,9;-93,1;-132,9;96,3;96,9
6,8999999999999915;71,5;84,8;-94,2;-133,9;96,4;97,1
6,999999999999991;71,8;84,3;-95,1;-129,0;96,3;95,2
7,099999999999991;72,1;86,5;-95,9;-128,7;96,3;95,8
7,19999999999999;72,5;89,5;-96,8;-129,4;96,2;94,8
7,29999999999999;73,0;91,7;-97,7;-130,3;96,1;93,5
7,39999999999999;73,4;93,3;-98,5;-130,2;96,0;91,7
7,499999999999989;73,9;92,4;-99,3;-130,1;95,8;90,4
7,599999999999989;74,3;90,6;-100,0;-127,1;95,6;90,7
7,699999999999989;74,6;88,2;-100,5;-120,1;95,5;91,8
7,799999999999988;74,9;89,3;-100,9;-117,1;95,3;91,7
7,899999999999988;75,2;88,8;-101,1;-110,1;95,2;91,2
7,999999999999988;75,6;89,2;-101,3;-109,1;95,1;93,7
8,099999999999987;75,9;92,6;-101,6;-109,7;95,1;94,7
8,199999999999987;76,4;94,3;-101,5;-100,6;95,1;95,3
8,299999999999986;76,8;98,0;-101,5;-98,5;95,2;97,8
8,399999999999986;77,4;101,1;-101,3;-96,8;95,3;96,6
8,499999999999986;78,0;105,9;-101,3;-98,5;95,2;94,5
8,599999999999985;78,8;110,6;-101,4;-106,2;95,1;91,9
8,699999999999985;79,5;114,0;-101,7;-112,8;95,0;92,1
8,799999999999985;80,3;112,5;-102,1;-117,9;94,9;92,2
8,899999999999984;81,0;114,0;-102,6;-125,0;94,8;91,7
8,999999999999984;81,8;116,4;-103,4;-134,2;94,8;95,2
9,099999999999984;82,6;116,7;-104,2;-134,7;94,7;92,8
9,199999999999983;83,4;117,2;-105,0;-135,8;94,6;89,7
9,299999999999983;84,1;117,1;-105,8;-136,0;94,3;87,9
9,399999999999983;84,9;118,6;-106,5;-136,0;94,0;85,8
9,499999999999982;85,6;120,4;-107,2;-135,2;93,7;85,0
9,599999999999982;86,5;122,6;-108,0;-137,5;93,6;89,6
9,699999999999982;87,2;121,9;-108,6;-134,6;93,4;88,0
9,799999999999981;88,0;120,5;-109,2;-130,9;93,2;88,9
9,89999999999998;88,7;121,3;-109,8;-133,9;93,2;93,6
9,99999999999998;89,4;120,8;-110,2;-127,2;93,2;92,4
10,09999999999998;90,1;122,4;-110,5;-122,5;93,0;87,5
10,19999999999998;90,9;124,5;-110,7;-120,2;92,6;82,6
10,29999999999998;91,7;127,9;-110,9;-118,4;92,3;82,0
10,399999999999979;92,5;128,6;-111,0;-113,9;91,9;82,5
10,499999999999979;93,3;131,1;-111,0;-112,9;91,5;80,8
10,599999999999978;94,2;134,4;-111,0;-111,0;91,0;77,6
10,699999999999978;95,2;137,9;-111,1;-112,8;90,5;76,8
10,799999999999978;96,2;141,6;-111,1;-112,8;90,0;76,4
10,899999999999977;97,3;146,7;-111,4;-121,6;89,6;78,0
10,999999999999977;98,4;150,9;-111,7;-123,0;89,0;73,1
11,099999999999977;99,6;150,9;-111,9;-122,0;88,3;68,8
11,199999999999976;100,8;154,6;-112,3;-128,1;87,6;69,8
11,299999999999976;102,0;156,8;-112,9;-137,7;87,2;74,6
11,399999999999975;103,2;158,9;-113,6;-139,7;86,7;73,1
11,499999999999975;104,5;162,0;-114,3;-141,3;86,2;71,6
11,599999999999975;105,8;164,7;-115,0;-143,5;85,8;76,6
11,699999999999974;107,1;166,4;-115,7;-144,8;85,6;80,0
11,799999999999974;108,4;166,6;-116,3;-139,8;85,3;75,9
11,899999999999974;109,6;167,1;-116,7;-134,6;84,9;73,5
11,999999999999973;110,9;169,0;-117,2;-134,9;84,5;73,6
12,099999999999973;112,2;167,8;-117,5;-130,3;84,0;70,3
12,199999999999973;113,3;166,3;-117,7;-127,8;83,4;67,9
12,299999999999972;114,4;164,2;-118,0;-127,7;82,9;69,2
12,399999999999972;115,4;160,1;-118,1;-124,4;82,5;70,7
12,499999999999972;116,3;158,3;-118,2;-120,6;82,0;70,3
12,599999999999971;117,2;156,1;-118,2;-116,9;81,6;70,9
12,69999999999997;118,0;154,6;-118,1;-116,1;81,2;70,4
12,79999999999997;118,8;153,6;-118,1;-118,5;81,0;73,4
12,89999999999997;119,5;153,1;-118,3;-126,5;80,7;73,7
12,99999999999997;120,2;151,0;-118,6;-129,0;80,4;72,1
13,09999999999997;120,8;147,5;-118,7;-123,7;80,1;70,6
13,199999999999969;121,3;145,6;-118,9;-124,4;79,6;68,4
13,299999999999969;121,8;146,7;-119,1;-130,1;79,3;68,9
13,399999999999968;122,4;148,0;-119,6;-138,1;78,9;69,7
13,499999999999968;122,9;147,5;-120,2;-144,4;78,6;69,3
13,599999999999968;123,5;147,9;-120,8;-144,7;78,2;67,6
13,699999999999967;124,0;147,9;-121,4;-146,0;77,7;64,7
13,799999999999967;124,6;150,8;-122,1;-152,5;77,2;63,6
13,899999999999967;125,2;152,0;-123,0;-157,4;76,8;64,5
13,999999999999966;125,8;153,2;-124,0;-164,1;76,5;68,3
14,099999999999966;126,4;153,8;-125,1;-168,9;76,3;70,4
14,199999999999966;127,0;154,1;-126,1;-165,6;76,0;68,3
14,299999999999965;127,6;155,6;-126,9;-161,7;75,7;68,2
14,399999999999965;128,2;156,0;-127,6;-155,0;75,5;68,9
14,499999999999964;128,8;155,6;-128,1;-148,7;75,2;68,5
14,599999999999964;129,3;152,5;-128,4;-139,7;74,7;59,8
14,699999999999964;129,7;151,5;-128,6;-136,8;74,0;55,9
14,799999999999963;130,2;149,8;-128,6;-128,2;73,3;54,5
14,899999999999963;130,6;149,0;-128,4;-121,8;72,7;54,7
14,999999999999963;131,0;149,6;-128,2;-118,2;72,0;52,9
15,099999999999962;131,4;150,2;-127,7;-108,4;71,0;45,7
15,199999999999962;131,8;148,0;-127,1;-103,4;70,3;50,8
15,299999999999962;132,1;147,2;-126,5;-103,1;69,6;50,7
15,399999999999961;132,4;146,2;-125,9;-100,7;68,9;49,3
15,499999999999961;132,7;144,8;-125,3;-99,2;68,2;48,3
15,59999999999996;133,0;147,6;-124,6;-99,9;67,5;47,9
15,69999999999996;133,4;150,9;-124,1;-102,1;66,7;46,0
15,79999999999996;133,8;153,7;-123,6;-104,5;65,8;40,6
15,89999999999996;134,3;156,2;-123,3;-110,5;64,8;37,7
15,99999999999996;134,7;154,5;-123,1;-116,6;63,8;37,9
16,09999999999996;135,2;158,0;-123,0;-116,1;62,9;38,1
16,19999999999996;135,8;163,7;-122,9;-119,5;62,1;39,0
16,29999999999996;136,5;166,1;-122,9;-124,4;61,5;45,3
16,399999999999963;137,2;170,1;-123,1;-129,9;61,0;46,2
16,499999999999964;137,9;170,5;-123,2;-126,7;60,3;40,8
16,599999999999966;138,7;173,6;-123,3;-128,8;59,4;37,0
16,699999999999967;139,5;176,8;-123,4;-126,4;58,7;37,5
16,79999999999997;140,3;177,8;-123,3;-117,9;57,9;36,7
16,89999999999997;141,1;179,5;-123,0;-114,2;57,2;38,0
16,99999999999997;142,0;184,1;-122,9;-118,1;56,5;37,3
17,099999999999973;143,0;186,5;-122,9;-120,2;55,7;35,7
17,199999999999974;144,0;189,8;-122,8;-121,9;55,0;34,9
17,299999999999976;145,0;190,7;-122,8;-120,5;54,3;34,4
17,399999999999977;146,0;192,1;-122,7;-121,5;53,6;35,7
17,49999999999998;147,0;194,2;-122,8;-123,9;53,0;35,1
17,59999999999998;148,1;195,8;-122,7;-118,5;52,3;33,7
17,69999999999998;149,1;197,5;-122,5;-116,3;51,6;32,9
17,799999999999983;150,2;198,8;-122,4;-115,8;51,0;35,4
17,899999999999984;151,3;202,6;-122,3;-118,7;50,4;33,8
17,999999999999986;152,5;207,3;-122,3;-122,0;49,8;31,9
18,099999999999987;153,8;212,2;-122,5;-132,7;49,2;34,0
18,19999999999999;155,1;214,9;-122,9;-140,0;48,7;33,5
18,29999999999999;156,4;215,2;-123,4;-143,4;48,0;30,8
18,39999999999999;157,6;215,3;-124,0;-147,2;47,3;28,0
18,499999999999993;158,9;217,5;-124,7;-154,0;46,6;26,7
18,599999999999994;160,2;221,3;-125,6;-161,0;46,0;31,0
18,699999999999996;161,5;221,8;-126,4;-159,3;45,5;31,4
18,799999999999997;162,9;223,5;-127,2;-158,0;45,0;31,2
18,9;164,2;227,2;-128,0;-159,7;44,5;28,9
19,0;165,6;227,6;-128,6;-154,7;43,8;26,2
19,1;167,0;229,2;-129,2;-151,6;43,2;26,4
19,200000000000003;168,3;231,3;-129,7;-149,4;42,4;21,1
19,300000000000004;169,7;233,3;-130,1;-147,0;41,5;16,1
19,400000000000006;171,1;235,2;-130,3;-140,2;40,5;13,5
19,500000000000007;172,5;236,0;-130,5;-135,7;39,6;15,9
19,60000000000001;173,9;237,0;-130,6;-136,3;38,8;16,1
19,70000000000001;175,2;237,4;-130,7;-132,7;38,0;15,9
19,80000000000001;176,5;234,3;-130,7;-132,3;37,3;17,6
19,900000000000013;177,7;235,0;-130,8;-134,0;36,4;13,8
20,000000000000014;179,0;235,5;-130,8;-131,7;35,5;8,6
