time;esti_vx;esti_vy;esti_vz;meas_vx;meas_vy;meas_vz
8,498899999999987;0,0;0,0;0,0;0,0;0,0;0,0
8,598899999999986;0,0;0,0;0,0;0,0;0,0;0,0
8,698899999999986;0,0;0,0;0,0;0,0;0,0;0,0
8,798899999999986;0,0;0,0;0,0;0,0;0,0;0,0
8,898899999999985;0,0;0,0;0,0;0,0;0,0;0,0
8,998899999999985;0,0;0,0;0,0;0,0;0,0;0,0
9,098899999999984;0,0;0,0;0,0;0,0;0,0;0,0
9,198899999999984;0,0;0,0;0,0;0,0;0,0;0,0
9,298899999999984;0,0;0,0;0,0;0,0;0,0;0,0
9,398899999999983;-1,8449307559008662e-95;-0,08381634293278171;-0,18395614536103136;-0,0;-3,4;-5,2
9,498899999999983;0,022004607890884098;-0,21721836643080333;-0,75399917135617;1,0;-5,5;-16,3
9,598899999999983;0,08964668573638386;-0,19464588893036155;-1,4877119957268181;3,1;0,7;-21,5
9,698899999999982;0,16449939631507754;-0,12592511202940332;-2,050404149379151;3,5;2,6;-17,4
9,798899999999982;0,1323939011835229;0,19905638122090152;-2,7769980252397177;-1,3;13,1;-22,6
9,898899999999982;0,12949480888204698;0,8252027060753695;-3,750054219382147;0,0;25,7;-30,3
9,998899999999981;0,14634847814391316;1,5582407806399607;-4,589633337355112;0,9;30,7;-27,5
10,098899999999981;0,1475207972424184;2,5474601929565717;-4,936405415497191;0,2;41,9;-14,4
10,19889999999998;0,22943254640553593;3,533877961483711;-4,991669845890312;3,9;42,8;-6,5
10,29889999999998;0,4076140585941136;4,5886195897907225;-4,712765232957409;8,4;46,6;2,9
10,39889999999998;0,6536487080595413;5,675694862081174;-4,0373389227918555;11,7;49,0;14,4
10,49889999999998;1,029075110118153;6,742931204967554;-2,8840474196411483;17,9;49,3;28,6
10,59889999999998;1,5700196110271585;7,680828726286736;-1,2698341447087462;25,9;45,1;42,8
10,698899999999979;2,303056009872286;8,385164875634352;0,44271012613895167;35,3;36,5;47,2
10,798899999999978;3,2845373141308327;8,971811703873001;2,4126259586254983;47,5;32,4;56,2
10,898899999999978;4,430608950318641;9,902815697387693;4,365838034244196;56,1;47,1;57,7
10,998899999999978;5,819897937681381;10,727719526502645;6,288814495393119;68,5;43,7;58,8
11,098899999999977;7,40349794465341;11,461414119869229;8,429908089327704;78,9;40,8;66,9
11,198899999999977;9,083869527139754;12,35253200408241;10,22682170179274;85,0;48,0;59,3
11,298899999999977;10,92376566140033;12,950988398401952;11,74472888672154;94,1;36,9;53,2
11,398899999999976;12,87633131927818;13,373803478330824;12,989977422478578;101,2;30,3;47,0
11,498899999999976;14,949855940680726;13,39393219984657;14,102902755287964;108,8;14,2;44,5
11,598899999999976;17,19133059771729;13,118863017083727;14,576069674125618;118,7;2,1;27,5
11,698899999999975;19,42641340827227;12,928487627983595;14,951281203278889;120,7;5,3;25,2
11,798899999999975;21,730836016590878;12,716024860498868;15,140179875193732;126,2;4,2;20,3
11,898899999999974;24,001694664898576;12,530691022287114;15,085787304991577;127,0;5,1;13,6
11,998899999999974;26,164323523455717;12,559138502347922;14,726077313803978;124,3;13,7;4,9
12,098899999999974;28,26645480922854;12,788763752903066;14,13541063907695;123,7;22,0;-2,0
12,198899999999973;30,371958625203757;13,168379225177878;13,413766863472047;126,0;28,4;-6,3
12,298899999999973;32,493717564628504;13,526525617701655;12,297398567175579;128,9;27,9;-18,2
12,398899999999973;34,58835239461244;14,196733609080267;10,764945210959207;129,8;41,1;-31,1
12,498899999999972;36,643590531322765;15,219900209246491;8,693396787265835;130,1;56,3;-47,9
12,598899999999972;38,6302253841051;16,531438244558196;6,634999831069246;129,0;69,2;-49,6
12,698899999999972;40,55195996125121;17,844885545134765;4,981233671450716;128,0;70,6;-40,2
12,798899999999971;42,40381136131509;19,152920084453772;3,47062796543268;126,7;71,7;-37,8
12,898899999999971;44,183053537865746;20,686384028557878;1,971008262838391;125,2;82,3;-39,0
