time;vx;ax;vy;ay;vz;az
0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,1;-1,3;-2,3;-1,3;-2,4;-10,8;-19,7
0,2;1,8;7,9;-7,8;-20,4;-20,5;-39,1
0,30000000000000004;1,8;1,6;-7,9;-8,1;-18,5;-12,3
0,4;0,5;-4,7;-6,0;1,5;-17,0;-11,2
0,5;0,5;0,7;-6,7;-10,1;-17,1;-17,4
0,6;-0,1;-4,0;-5,5;1,5;-16,0;-9,6
0,7;-1,2;-9,0;-4,5;2,7;-13,1;6,8
0,7999999999999999;-2,2;-9,6;-3,3;6,1;-12,4;-6,9
0,8999999999999999;-2,3;-3,0;-2,3;6,2;-10,7;3,3
0,9999999999999999;-2,0;0,6;-1,9;2,1;-10,5;-7,8
1,0999999999999999;-2,0;-1,6;-2,1;-4,2;-10,2;-7,2
1,2;-2,5;-8,8;-1,9;0,5;-9,4;-1,0
1,3;-3,3;-13,8;-1,0;9,9;-9,1;-5,3
1,4000000000000001;-3,3;-3,2;-1,0;-0,0;-8,9;-6,1
1,5000000000000002;-3,6;-8,1;-1,2;-4,9;-8,9;-9,1
1,6000000000000003;-3,7;-4,3;-1,6;-7,3;-8,8;-7,4
1,7000000000000004;-4,2;-13,1;-1,5;0,7;-8,4;-2,5
1,8000000000000005;-4,4;-8,0;-1,3;1,1;-8,0;-1,8
1,9000000000000006;-4,7;-9,1;-1,2;0,6;-8,0;-7,4
2,0000000000000004;-4,5;-1,3;-1,5;-7,7;-8,3;-12,9
2,1000000000000005;-4,7;-8,4;-1,7;-5,1;-8,4;-10,5
2,2000000000000006;-5,1;-12,9;-1,3;7,5;-8,2;-4,8
2,3000000000000007;-5,1;-4,8;-1,2;-0,5;-8,3;-10,8
2,400000000000001;-5,3;-9,9;-1,3;-3,5;-8,6;-12,9
2,500000000000001;-5,6;-11,9;-1,0;7,6;-8,2;-1,6
2,600000000000001;-5,6;-6,6;-0,6;7,8;-7,9;-1,6
2,700000000000001;-5,6;-5,9;-0,7;-3,6;-7,9;-7,7
2,800000000000001;-5,7;-8,7;-0,9;-5,6;-8,0;-10,6
2,9000000000000012;-6,0;-14,1;-0,7;3,2;-7,7;-0,8
3,0000000000000013;-5,9;-2,8;-0,8;-3,1;-8,0;-13,8
3,1000000000000014;-6,0;-9,2;-1,0;-4,7;-8,1;-10,8
3,2000000000000015;-6,1;-8,2;-0,9;1,5;-7,7;2,0
3,3000000000000016;-6,2;-7,8;-0,7;4,2;-7,4;-2,0
3,4000000000000017;-6,2;-7,6;-0,7;-0,8;-7,5;-8,5
3,5000000000000018;-6,2;-5,6;-0,8;-2,3;-7,5;-8,8
3,600000000000002;-6,3;-9,5;-0,9;-4,2;-7,3;-2,9
3,700000000000002;-6,4;-9,4;-1,0;-3,0;-7,3;-7,5
3,800000000000002;-6,4;-4,7;-0,8;4,2;-7,3;-6,5
3,900000000000002;-6,5;-12,2;-0,7;2,8;-7,2;-4,4
4,000000000000002;-6,6;-8,5;-0,7;-1,4;-6,9;-0,1
4,100000000000001;-6,4;-1,4;-0,8;-3,7;-7,1;-11,8
4,200000000000001;-6,4;-3,8;-1,3;-16,0;-7,4;-14,3
4,300000000000001;-6,2;-2,2;-1,2;0,1;-7,7;-16,0
4,4;-6,3;-7,9;-1,2;-1,5;-7,6;-3,6
4,5;-6,2;-3,7;-1,3;-4,7;-7,7;-10,3
4,6;-6,1;-2,8;-1,4;-3,9;-7,6;-5,6
