time;vx;ax;vy;ay;vz;az
0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,1;-0,5;0,0;-0,2;0,0;0,6;0,0
0,2;-0,8;-10,91;-0,3;-3,66;0,8;11,85
0,30000000000000004;-0,8;-8,34;-0,3;-2,75;0,7;2,71
0,4;-0,8;-9,47;-0,3;-4,11;0,7;6,27
0,5;-0,8;-4,13;-0,4;-7,04;0,7;6,5
0,6;-0,7;-3,18;-0,4;-2,98;0,6;1,37
0,7;-0,6;-3,07;-0,4;-5,48;0,7;11,63
0,7999999999999999;-0,6;-5,27;-0,4;-5,17;0,7;6,07
0,8999999999999999;-0,6;-7,38;-0,4;-3,77;0,6;2,69
0,9999999999999999;-0,6;-4,52;-0,4;-1,93;0,6;6,25
1,0999999999999999;-0,6;-8,68;-0,4;-8,61;0,7;10,29
1,2;-0,6;-1,92;-0,4;-1,1;0,6;4,72
1,3;-0,6;-7,51;-0,4;-6,44;0,6;7,8
1,4000000000000001;-0,6;-3,99;-0,4;-1,24;0,6;4,68
1,5000000000000002;-0,6;-3,42;-0,4;-3,27;0,6;5,8
1,6000000000000003;-0,6;-2,46;-0,4;-7,14;0,7;10,28
1,7000000000000004;-0,6;-7,03;-0,4;-3,95;0,7;5,83
1,8000000000000005;-0,5;-0,53;-0,4;-3,43;0,6;5,33
1,9000000000000006;-0,5;-2,55;-0,4;-1,36;0,7;10,22
2,0000000000000004;-0,5;-1,6;-0,4;-1,87;0,6;2,67
2,1000000000000005;-0,5;-2,37;-0,4;0,72;0,6;6,46
2,2000000000000006;-0,5;-3,85;-0,3;1,74;0,7;9,1
2,3000000000000007;-0,5;-1,04;-0,3;0,38;0,7;6,2
2,400000000000001;-0,5;-0,87;-0,3;-2,09;0,6;4,43
2,500000000000001;-0,5;-3,45;-0,3;-2,84;0,6;3,35
2,600000000000001;-0,4;0,56;-0,3;-0,03;0,7;11,14
2,700000000000001;-0,4;-4,76;-0,3;-0,79;0,7;10,01
2,800000000000001;-0,4;-2,76;-0,3;-3,15;0,7;12,47
2,9000000000000012;-0,4;-5,82;-0,3;-5,36;0,7;1,96
3,0000000000000013;-0,4;1,57;-0,3;-5,65;0,7;6,92
3,1000000000000014;-0,4;-4,5;-0,3;-1,36;0,7;14,51
3,2000000000000015;-0,4;-4,21;-0,3;-3,37;0,7;10,26
3,3000000000000016;-0,4;-4,34;-0,3;1,63;0,7;0,71
3,4000000000000017;-0,4;-5,68;-0,3;-7,21;0,7;7,43
3,5000000000000018;-0,4;-5,74;-0,3;-4,45;0,7;12,11
3,600000000000002;-0,4;-7,1;-0,3;-1,56;0,7;8,56
3,700000000000002;-0,4;-4,95;-0,3;0,35;0,7;5,65
3,800000000000002;-0,4;-3,92;-0,3;-2,03;0,7;6,52
3,900000000000002;-0,4;-6,63;-0,3;-0,17;0,7;3,37
4,000000000000002;-0,4;-0,32;-0,3;0,83;0,7;11,44
4,100000000000001;-0,4;-1,34;-0,3;-4,52;0,7;3,21
4,200000000000001;-0,4;-2,77;-0,3;-3,52;0,7;-1,66
4,300000000000001;-0,4;-4,96;-0,3;-5,16;0,7;8,79
4,4;-0,4;-2,86;-0,3;-1,17;0,7;10,12
4,5;-0,4;-6,35;-0,3;1,7;0,7;7,88
4,6;-0,4;-3,21;-0,3;0,74;0,7;8,33
4,699999999999999;-0,4;-3,98;-0,2;1,82;0,7;8,77
4,799999999999999;-0,4;-3,93;-0,3;-7,86;0,7;4,35
4,899999999999999;-0,4;-5,38;-0,2;-0,04;0,7;8,57
4,999999999999998;-0,4;-3,56;-0,3;-6,84;0,7;7,23
5,099999999999998;-0,4;-3,44;-0,3;-2,03;0,7;6,32
5,1999999999999975;-0,4;0,11;-0,3;-0,44;0,7;1,66
5,299999999999997;-0,4;-4,19;-0,2;-0,22;0,7;9,69
5,399999999999997;-0,4;-1,67;-0,2;-0,32;0,7;8,35
5,4999999999999964;-0,4;-6,49;-0,3;-6,71;0,7;3,21
5,599999999999996;-0,4;-7,06;-0,3;-4,82;0,7;3,45
5,699999999999996;-0,4;-9,27;-0,2;13,4;0,7;19,28
5,799999999999995;-0,4;-2,65;-0,2;-12,05;0,7;9,09
5,899999999999995;-0,3;42,07;-0,2;1,81;0,7;4,05
5,999999999999995;-0,4;-42,72;-0,0;71,63;0,3;-114,09
6,099999999999994;-0,4;-10,74;-0,3;-104,39;0,6;103,67
6,199999999999994;-0,3;64,51;-0,3;-13,49;0,6;0,38
6,299999999999994;-0,2;13,67;-0,3;28,84;0,5;-18,83
6,399999999999993;-0,2;7,62;-0,3;-15,26;1,0;126,64
6,499999999999993;-0,2;8,55;-0,3;8,56;0,6;-82,97
6,5999999999999925;-0,2;-31,56;-0,5;-81,82;0,5;-34,76
6,699999999999992;-0,2;11,61;-0,5;-8,92;0,7;52,53
6,799999999999992;-0,1;56,97;-0,1;130,3;1,3;199,52
6,8999999999999915;0,1;50,2;-0,2;-12,47;1,2;-37,15
6,999999999999991;0,1;2,66;-0,1;29,78;1,2;30,8
7,099999999999991;0,1;5,03;-0,0;13,91;1,2;12,81
7,19999999999999;0,1;16,29;-0,0;-3,57;1,2;9,43
7,29999999999999;0,1;3,48;-0,1;-14,28;1,1;-19,4
7,39999999999999;0,1;2,32;-0,1;-18,57;1,0;-14,09
7,499999999999989;0,1;-6,86;-0,1;9,24;0,9;-10,63
7,599999999999989;0,2;37,94;-0,3;-72,26;1,1;54,04
7,699999999999989;0,1;-19,23;-0,4;-55,64;1,0;-5,77
7,799999999999988;0,2;11,59;-0,4;-3,58;1,3;70,35
7,899999999999988;0,1;-6,77;-0,3;28,7;1,3;14,29
7,999999999999988;0,1;-5,96;-0,3;13,23;1,2;-3,98
8,099999999999987;0,1;6,86;-0,2;12,36;1,1;-7,92
8,199999999999987;0,2;11,99;-0,3;-19,6;1,2;39,34
8,299999999999986;0,2;18,61;-0,3;-2,96;1,2;5,31
8,399999999999986;0,2;0,98;-0,2;21,98;1,1;-18,3
8,499999999999986;0,2;1,57;-0,3;-32,23;1,0;-4,8
8,599999999999985;0,2;6,74;-0,3;-11,15;1,1;18,06
8,699999999999985;0,2;10,43;-0,3;11,14;1,1;30,6
8,799999999999985;0,2;-1,88;-0,3;-1,62;1,1;-10,53
8,899999999999984;0,2;9,15;-0,3;-10,5;1,0;-13,66
8,999999999999984;0,3;26,94;-0,4;-27,41;1,2;59,79
9,099999999999984;0,3;-8,8;-0,3;19,27;1,1;-1,84
9,199999999999983;0,2;-2,61;-0,3;8,02;1,1;1,51
9,299999999999983;0,3;9,52;-0,2;10,79;1,1;17,22
9,399999999999983;0,3;-1,35;-0,2;5,75;1,0;-29,17
9,499999999999982;0,3;6,85;-0,2;0,91;1,0;21,36
9,599999999999982;0,3;2,87;-0,2;-1,83;1,0;19,85
9,699999999999982;0,3;2,18;-0,2;-13,34;1,1;22,43
9,799999999999981;0,3;6,62;-0,3;-8,79;1,1;14,18
9,89999999999998;0,3;13,33;-0,3;-6,31;1,1;1,95
9,99999999999998;0,3;1,1;-0,3;-3,28;1,0;-10,21
10,09999999999998;0,3;14,4;-0,2;17,41;1,0;17,93
10,19999999999998;0,3;-1,59;-0,2;7,46;1,1;21,9
10,29999999999998;0,3;1,0;-0,2;10,92;1,0;-1,97
10,399999999999979;0,3;4,88;-0,1;6,65;0,9;-31,39
10,499999999999979;0,3;20,07;-0,1;-1,03;0,9;19,63
10,599999999999978;0,3;1,1;-0,2;-30,67;0,8;-24,24
10,699999999999978;0,3;-8,41;-0,3;-44,84;0,9;41,73
10,799999999999978;0,3;-14,4;-0,3;-4,19;0,5;-113,51
10,899999999999977;0,2;-22,32;-0,5;-59,21;0,5;4,42
10,999999999999977;0,3;20,13;-0,4;28,04;0,3;-41,63
11,099999999999977;0,2;-1,01;-0,4;-3,11;0,4;25,47
11,199999999999976;0,2;-18,61;-0,3;21,83;0,4;4,57
11,299999999999976;0,1;-42,65;-0,3;10,52;0,3;-10,82
11,399999999999975;0,0;-47,39;-0,3;4,17;0,4;13,46
11,499999999999975;-0,1;-42,56;-0,4;-45,33;0,6;62,58
11,599999999999975;-0,2;-44,96;-0,5;-40,55;0,7;33,67
11,699999999999974;-0,4;-86,82;-0,8;-129,74;0,7;4,88
11,799999999999974;-0,4;-39,52;-0,9;-59,35;0,5;-43,71
11,899999999999974;-0,5;-39,24;-0,8;17,57;0,3;-36,27
11,999999999999973;-0,6;-26,5;-1,0;-84,27;0,2;-24,86
12,099999999999973;-0,5;13,65;-1,0;-3,92;0,4;40,69
12,199999999999973;-0,6;-19,64;-1,1;-34,19;0,3;-11,38
12,299999999999972;-0,6;-42,67;-1,0;17,3;0,5;49,15
12,399999999999972;-0,7;-15,89;-0,9;45,11;0,2;-78,74
12,499999999999972;-0,7;-48,09;-0,8;6,81;0,0;-45,09
12,599999999999971;-0,8;-17,18;-0,8;-6,57;-0,0;-20,54
12,69999999999997;-0,8;-20,72;-0,9;-55,59;0,1;52,44
12,79999999999997;-0,9;-39,93;-0,9;2,15;0,3;42,09
12,89999999999997;-0,9;-11,02;-0,9;-20,67;0,4;37,71
12,99999999999997;-0,8;14,11;-1,0;-29,85;0,5;22,42
13,09999999999997;-0,7;29,52;-1,0;-16,74;0,6;45,61
13,199999999999969;-0,7;-8,0;-0,9;24,77;0,7;17,75
13,299999999999969;-0,7;13,74;-0,9;-11,77;0,5;-36,37
13,399999999999968;-0,6;28,72;-0,6;116,07;0,9;105,21
13,499999999999968;-0,7;-21,75;-0,4;79,0;0,9;29,13
13,599999999999968;-0,7;-24,26;-0,4;-14,77;0,6;-97,2
13,699999999999967;-0,7;11,16;-0,5;-18,53;0,5;-8,7
13,799999999999967;-0,6;5,11;-0,5;-14,26;0,5;2,02
13,899999999999967;-0,6;5,47;-0,5;-12,36;0,3;-40,09
13,999999999999966;-0,5;20,86;-0,5;0,88;0,3;3,03
14,099999999999966;-0,5;12,31;-0,7;-96,66;0,4;16,07
14,199999999999966;-0,4;44,1;-0,6;48,65;0,2;-47,15
14,299999999999965;-0,3;59,17;-0,6;-4,14;0,3;41,3
14,399999999999965;-0,2;12,0;-0,4;55,43;0,5;49,84
14,499999999999964;-0,1;50,64;-0,3;31,59;0,6;22,52
14,599999999999964;-0,1;-12,24;-0,2;36,74;0,8;86,27
14,699999999999964;-0,0;49,69;-0,1;65,68;0,6;-56,94
14,799999999999963;0,0;26,23;0,0;44,96;0,4;-59,81
14,899999999999963;0,1;44,38;0,1;40,92;0,3;-27,22
14,999999999999963;0,2;36,65;0,2;35,86;0,1;-44,99
15,099999999999962;0,3;46,44;0,2;13,0;0,1;2,42
15,199999999999962;0,3;26,09;0,2;1,33;0,1;-1,88
15,299999999999962;0,3;-1,03;0,2;-7,55;0,0;-17,08
15,399999999999961;0,4;21,32;0,2;-6,89;0,0;-7,89
15,499999999999961;0,4;3,3;0,2;-6,26;-0,0;-15,24
15,59999999999996;0,3;-18,98;0,1;-26,36;0,0;18,84
15,69999999999996;0,3;-27,27;0,0;-29,49;0,1;19,07
15,79999999999996;0,2;-41,96;-0,0;-18,15;0,0;-14,85
15,89999999999996;0,1;-27,58;-0,1;-47,54;0,1;29,88
15,99999999999996;0,0;-25,71;-0,3;-62,72;0,6;119,33
16,09999999999996;0,0;-17,23;-0,5;-80,95;0,6;30,04
16,19999999999996;-0,1;-33,76;-0,7;-101,78;0,8;40,98
16,29999999999996;-0,2;-46,11;-0,9;-74,84;0,8;22,89
16,399999999999963;-0,2;-28,12;-1,0;-77,07;0,7;-23,74
16,499999999999964;-0,3;-23,55;-1,1;-21,09;0,8;39,64
16,599999999999966;-0,3;-26,01;-1,2;-66,75;1,2;113,82
16,699999999999967;-0,3;-8,53;-1,2;-27,04;1,3;43,33
16,79999999999997;-0,3;-4,61;-1,1;47,14;1,3;-0,73
16,89999999999997;-0,4;-16,78;-0,9;49,25;1,0;-61,14
16,99999999999997;-0,3;14,03;-0,8;61,88;0,8;-33,89
17,099999999999973;-0,3;-10,55;-0,6;47,59;1,2;99,91
17,199999999999974;-0,4;-20,39;-0,4;88,09;0,9;-66,24
17,299999999999976;-0,4;-18,64;-0,3;40,95;1,0;35,61
17,399999999999977;-0,4;-22,46;-0,3;-16,23;1,1;48,04
17,49999999999998;-0,5;-5,95;-0,5;-69,14;1,5;106,33
17,59999999999998;-0,5;-30,41;-0,6;-57,68;1,6;65,51
17,69999999999998;-0,6;-32,79;-0,7;-56,68;1,8;62,18
17,799999999999983;-0,6;-19,09;-0,9;-69,8;1,8;21,36
17,899999999999984;-0,6;-25,78;-1,0;-65,13;1,7;-19,5
17,999999999999986;-0,7;-50,66;-1,2;-73,59;1,6;-7,44
18,099999999999987;-0,9;-64,57;-1,3;-54,91;1,3;-54,57
18,19999999999999;-1,0;-86,39;-1,4;-53,46;1,2;-28,33
18,29999999999999;-1,2;-86,59;-1,5;-58,69;1,0;-55,48
18,39999999999999;-1,3;-47,13;-1,7;-82,27;0,9;-10,55
18,499999999999993;-1,4;-65,51;-1,8;-78,3;0,7;-51,1
18,599999999999994;-1,5;-62,05;-1,9;-61,06;0,3;-99,43
18,699999999999996;-1,5;-35,55;-2,0;-64,72;0,0;-73,47
18,799999999999997;-1,6;-37,21;-2,0;-32,73;0,1;24,93
18,9;-1,6;-11,81;-2,1;-33,41;0,2;23,77
19,0;-1,6;-18,64;-2,1;-14,9;0,3;40,98
19,1;-1,5;11,04;-2,2;-67,13;0,4;28,65
19,200000000000003;-1,5;5,24;-2,2;-38,64;0,4;3,7
19,300000000000004;-1,4;4,46;-2,4;-97,84;0,4;-4,92
19,400000000000006;-1,3;20,41;-2,5;-81,02;0,4;-1,3
19,500000000000007;-1,3;14,79;-2,5;-3,76;0,4;26,51
19,60000000000001;-1,2;6,02;-2,4;-6,06;0,6;49,83
19,70000000000001;-1,2;4,69;-2,2;67,01;0,5;-18,17
19,80000000000001;-1,2;2,03;-2,0;64,81;0,4;-26,77
19,900000000000013;-1,0;56,64;-2,1;-63,09;0,5;27,11
20,000000000000014;-1,0;14,32;-2,0;32,85;0,6;41,87
20,100000000000016;-0,9;29,49;-1,7;76,94;0,6;-5,38
20,200000000000017;-0,7;61,05;-1,7;-3,73;0,2;-90,83
20,30000000000002;-0,6;59,55;-1,6;32,96;0,3;20,46
20,40000000000002;-0,5;28,19;-1,4;77,67;0,3;-4,75
