time,vx,ax,vy,ay,vz,az
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.4,-4.4,-0.3,-2.8,0.7,7.0
0.2,-0.2,1.3,-0.3,-1.9,0.4,-2.7
0.30000000000000004,-0.2,0.9,-0.3,-4.3,0.4,4.1
0.4,-0.0,4.9,-0.3,-5.1,0.3,1.5
0.5,0.0,2.1,-0.3,-3.1,0.3,0.6
0.6,-0.0,-3.5,-0.3,-2.0,0.2,-0.2
0.7,-0.1,-2.8,-0.3,-3.7,0.3,5.5
0.7999999999999999,-0.0,1.4,-0.3,0.2,0.4,15.1
0.8999999999999999,-0.1,-2.0,-0.3,-5.8,0.4,5.3
0.9999999999999999,-0.0,1.7,-0.3,-0.5,0.5,8.2
1.0999999999999999,-0.0,0.5,-0.3,0.4,0.5,5.1
1.2,-0.1,-4.4,-0.3,-4.7,0.4,-1.3
1.3,-0.0,1.9,-0.3,-5.4,0.4,3.6
1.4000000000000001,-0.0,0.8,-0.3,-1.5,0.4,5.1
1.5000000000000002,-0.1,-4.5,-0.3,-3.2,0.4,5.1
1.6000000000000003,-0.0,1.9,-0.3,1.6,0.4,0.6
1.7000000000000004,-0.0,3.8,-0.2,2.4,0.4,0.4
1.8000000000000005,0.0,4.8,-0.2,-1.4,0.4,3.0
1.9000000000000006,0.0,4.7,-0.2,2.9,0.3,-1.6
2.0000000000000004,0.0,1.7,-0.2,-3.7,0.3,0.4
2.1000000000000005,0.0,0.9,-0.2,-1.7,0.3,2.5
2.2000000000000006,0.1,3.8,-0.2,-1.1,0.3,4.1
2.3000000000000007,0.0,-3.5,-0.2,-2.8,0.3,6.3
2.400000000000001,0.0,-1.3,-0.2,-3.2,0.3,1.1
2.500000000000001,0.0,-1.4,-0.2,-4.1,0.3,-0.9
2.600000000000001,0.0,3.7,-0.2,-0.0,0.3,8.6
2.700000000000001,0.0,-2.8,-0.2,-7.1,0.3,0.7
2.800000000000001,0.0,0.4,-0.2,-2.0,0.3,2.6
2.9000000000000012,0.0,-0.0,-0.2,-3.7,0.3,3.0
3.0000000000000013,0.0,-2.6,-0.2,-3.1,0.3,6.2
3.1000000000000014,0.0,1.2,-0.2,-0.0,0.3,-6.8
3.2000000000000015,0.0,2.2,-0.2,-4.3,0.3,0.9
3.3000000000000016,0.0,0.9,-0.2,-2.8,0.3,-1.6
3.4000000000000017,0.0,0.2,-0.2,-0.6,0.3,1.0
3.5000000000000018,0.0,-0.0,-0.2,-3.9,0.3,6.2
3.600000000000002,0.0,-0.3,-0.2,-4.5,0.3,2.5
3.700000000000002,0.0,-0.3,-0.2,1.5,0.3,-1.4
3.800000000000002,0.0,-2.7,-0.2,-1.2,0.2,0.9
3.900000000000002,0.0,-2.7,-0.2,-3.1,0.2,2.2
4.000000000000002,0.0,0.8,-0.2,-4.5,0.3,8.0
4.100000000000001,0.0,0.1,-0.2,-1.2,0.3,2.5
4.200000000000001,-0.0,-3.9,-0.2,0.7,0.3,4.5
4.300000000000001,-0.0,-1.7,-0.2,-1.7,0.3,8.2
4.4,-0.0,-1.0,-0.2,-0.7,0.3,6.3
4.5,-0.0,3.8,-0.2,-1.2,0.3,5.8
4.6,-0.0,-0.3,-0.2,-3.6,0.3,7.8
4.699999999999999,-0.0,-2.9,-0.2,-3.5,0.3,5.7
4.799999999999999,-0.0,1.9,-0.2,1.8,0.4,7.1
4.899999999999999,-0.0,-0.5,-0.2,0.1,0.3,0.2
4.999999999999998,-0.0,-0.1,-0.2,-0.0,0.3,3.3
5.099999999999998,0.0,2.7,-0.2,-2.9,0.4,10.7
5.1999999999999975,0.0,-0.2,-0.2,0.9,0.4,-0.4
5.299999999999997,0.0,0.9,-0.2,-4.0,0.4,3.2
5.399999999999997,0.0,1.8,-0.2,-0.5,0.3,0.1
5.4999999999999964,0.0,0.5,-0.2,2.4,0.3,-7.6
5.599999999999996,0.0,-0.7,-0.2,-4.3,0.3,3.3
5.699999999999996,0.0,4.7,-0.2,-3.7,0.3,8.1
5.799999999999995,0.0,-0.5,-0.2,-0.2,0.3,4.9
5.899999999999995,0.0,-5.9,-0.2,-4.7,0.3,1.3
5.999999999999995,-0.0,-3.2,-0.2,-4.5,0.3,0.0
6.099999999999994,-0.0,-1.0,-0.2,-2.9,0.3,3.9
6.199999999999994,-0.0,-0.8,-0.2,-0.9,0.3,3.1
6.299999999999994,-0.0,3.6,-0.2,-1.6,0.3,5.6
6.399999999999993,0.0,0.9,-0.2,-4.4,0.3,1.3
6.499999999999993,0.0,0.9,-0.2,-0.9,0.3,-0.5
6.5999999999999925,0.0,4.6,-0.2,-1.1,0.3,9.0
6.699999999999992,0.0,-0.1,-0.2,-5.8,0.3,3.3
6.799999999999992,0.0,-3.6,-0.2,-4.5,0.3,-2.0
6.8999999999999915,0.0,-0.8,-0.2,-3.5,0.3,0.6
6.999999999999991,0.0,0.2,-0.2,-3.3,0.3,2.4
7.099999999999991,-0.0,-3.3,-0.2,-3.2,0.3,6.2
7.19999999999999,-0.0,-1.2,-0.2,0.6,0.3,4.8
7.29999999999999,-0.0,-0.5,-0.2,1.7,0.3,1.1
7.39999999999999,-0.0,-2.5,-0.2,-4.2,0.3,9.0
7.499999999999989,-0.0,1.8,-0.2,-3.6,0.3,-2.9
7.599999999999989,0.0,5.2,-0.2,1.5,0.3,7.2
7.699999999999989,0.0,8.1,-0.2,-3.9,0.3,4.1
7.799999999999988,0.0,9.1,-0.2,-1.7,0.3,4.1
7.899999999999988,0.1,6.2,-0.2,-3.6,0.3,6.3
7.999999999999988,0.1,2.0,-0.2,-0.3,0.3,3.8
8.099999999999987,0.1,5.3,-0.2,-1.1,0.3,0.7
8.199999999999987,0.1,2.4,-0.2,-0.5,0.3,5.9
8.299999999999986,0.1,3.6,-0.2,2.0,0.3,3.0
8.399999999999986,0.1,3.7,-0.2,-0.2,0.3,1.0
8.499999999999986,0.1,2.9,-0.2,-1.0,0.3,4.8
8.599999999999985,0.1,2.1,-0.2,0.1,0.3,2.1
8.699999999999985,0.1,1.4,-0.2,2.5,0.3,2.0
8.799999999999985,0.1,2.6,-0.2,-1.7,0.3,4.3
8.899999999999984,0.1,-1.5,-0.2,-5.3,0.3,8.2
8.999999999999984,0.1,-1.3,-0.2,-2.4,0.3,-1.1
9.099999999999984,0.1,-5.6,-0.2,0.3,0.3,1.6
9.199999999999983,0.1,-0.8,-0.2,-6.0,0.3,5.6
9.299999999999983,0.1,1.0,-0.2,-2.9,0.3,6.3
9.399999999999983,0.1,1.3,-0.2,-1.0,0.3,-2.3
9.499999999999982,0.1,-3.0,-0.2,-3.6,0.3,3.6
9.599999999999982,0.1,-1.2,-0.2,-2.7,0.3,9.8
9.699999999999982,0.1,-2.2,-0.2,-1.7,0.3,2.8
9.799999999999981,0.0,-2.0,-0.2,-5.2,0.4,7.2
9.89999999999998,0.0,-2.4,-0.2,0.7,0.4,4.1
9.99999999999998,0.0,-4.0,-0.2,-3.5,0.3,0.5
10.09999999999998,0.0,1.0,-0.2,1.2,0.4,4.4
10.19999999999998,0.0,-8.4,-0.2,-6.6,0.4,5.0
10.29999999999998,0.0,-2.5,-0.2,-2.5,0.4,10.9
10.399999999999979,0.0,-2.0,-0.2,-3.6,0.4,0.0
10.499999999999979,-0.0,-2.5,-0.2,-1.1,0.4,2.0
10.599999999999978,0.0,5.0,-0.2,-1.9,0.3,-2.2
10.699999999999978,0.0,1.6,-0.2,0.2,0.3,1.8
10.799999999999978,0.0,0.7,-0.2,-3.3,0.3,2.8
10.899999999999977,0.0,1.8,-0.2,2.9,0.3,7.1
10.999999999999977,0.0,0.7,-0.2,-2.2,0.4,5.1
11.099999999999977,0.0,-0.2,-0.2,-1.1,0.3,1.1
11.199999999999976,-0.0,-8.0,-0.2,-4.7,0.4,6.9
11.299999999999976,-0.0,0.1,-0.2,-6.4,0.4,7.6
11.399999999999975,-0.0,-1.5,-0.2,-0.9,0.4,7.5
11.499999999999975,-0.0,-1.7,-0.2,-1.7,0.4,5.1
11.599999999999975,0.0,4.2,-0.2,-0.1,0.4,4.0
11.699999999999974,0.0,1.7,-0.2,-2.6,0.4,3.2
11.799999999999974,0.0,4.0,-0.2,-4.5,0.4,5.4
11.899999999999974,0.0,1.1,-0.2,-1.0,0.4,3.4
11.999999999999973,0.0,-4.3,-0.2,-4.2,0.4,1.1
12.099999999999973,0.0,0.0,-0.2,-5.2,0.4,1.4
12.199999999999973,-0.0,-5.5,-0.2,-4.0,0.4,-0.8
12.299999999999972,-0.0,-0.3,-0.2,-4.5,0.3,0.3
12.399999999999972,0.0,4.8,-0.2,2.0,0.3,0.6
12.499999999999972,0.0,0.4,-0.2,-0.8,0.3,0.5
12.599999999999971,-0.0,-3.8,-0.2,3.0,0.3,-0.2
12.69999999999997,0.0,3.8,-0.2,-2.2,0.3,1.5
12.79999999999997,0.0,3.1,-0.2,1.4,0.3,5.0
12.89999999999997,0.0,2.9,-0.2,-4.4,0.3,2.0
12.99999999999997,0.0,1.1,-0.2,-3.6,0.3,-0.3
13.09999999999997,0.0,-1.1,-0.2,-1.3,0.3,6.5
13.199999999999969,0.0,-3.4,-0.2,-1.5,0.3,7.2
13.299999999999969,0.0,-4.2,-0.2,-0.4,0.3,0.3
13.399999999999968,0.0,0.1,-0.2,-1.3,0.3,-3.6
13.499999999999968,-0.0,-1.1,-0.2,-0.7,0.3,3.6
13.599999999999968,0.0,3.0,-0.2,0.5,0.3,4.3
13.699999999999967,0.0,1.6,-0.2,-5.3,0.3,8.2
13.799999999999967,0.0,2.1,-0.2,-3.5,0.3,-2.3
13.899999999999967,-0.0,-6.4,-0.2,-1.0,0.3,4.7
13.999999999999966,-0.0,-2.5,-0.2,-3.5,0.3,-1.0
14.099999999999966,-0.0,-1.8,-0.2,-2.2,0.3,0.5
14.199999999999966,-0.0,-1.1,-0.2,-1.9,0.3,0.2
14.299999999999965,-0.0,2.3,-0.2,-2.1,0.3,5.3
14.399999999999965,-0.0,1.3,-0.2,-2.7,0.3,5.3
14.499999999999964,-0.0,-1.5,-0.2,-3.9,0.3,0.7
14.599999999999964,-0.0,-5.5,-0.2,1.4,0.3,6.8
